text,target,char_len,word_count
ya ya.. they have all rights to do that with out any regret 😂,Positive,48,14
wo to hm bne bnaye hain 😉 😂😂,Positive,21,8
Hehehe bs kbhi Gharoor nhi keya😂😂,Positive,28,6
"Hahaha ap Tu bhot ""masoom"" Hain 😂😂",Positive,28,7
Don't care :-D..judge kro hamen or saro :-\,Positive,36,8
"our ""Aja khedeye"" is zada cute 😂😂",Positive,27,7
Uper waly portion will always welcome them😂,Positive,37,7
Hahaha a jaoo yahe kam best haii ab 😂😂😂,Positive,31,9
Or baray achay say Yeh kaam hum anjaam detay hain😄😂,Positive,42,10
bs dehko urdu agye parhna :')😂😂❤,Positive,27,6
Tmara pasandeedaaa kam :-D,Positive,23,4
fav kaam hai hummara yaar.,Positive,22,5
hmri jugjmnt kaml ki ha nw 😛😂😂😂😂,Positive,26,7
Hahahaha bht hi enjoy karty thy hm gari me fiza k sath b ..,Positive,46,14
O haan fiza Hahha usy kdr bhool skty hahahha,Positive,36,9
Hahahahahahahahaha chalo chalo naiki aur pooch pooch 😂😂,Positive,48,8
"Tu jahan mein wahan, meri aziz:')",Positive,28,6
😂😂 men samjha ap ne likha h ao logon ko haj kratay hen lol,Positive,45,14
behtreen hogaya 😂😂😂,Positive,17,3
Jao ja k hajj kro,Positive,13,5
ajao yah hmara fvrt kam ha 😁,Positive,22,7
Hahaha hum to master hain is kaam mein 😂😂,Positive,33,9
ajao...ajj main mood main houn,Positive,26,5
Haa sahi gaalh aaah..,Positive,18,4
ao un k gunah kum krty hain 😂😂😂,Positive,24,8
Aur unhy pak krty hain😂😂,Positive,20,5
tbi wo white lgty hain 😂😂,Positive,20,6
Hmari tu prediction b sahe hoti hai,Positive,29,7
fiqr na faqaa aish kr kaka,Positive,21,6
Hahahahah idea axhw h  api,Positive,21,6
anty ko thanksss bol...anty I love you😍 thanku so much😂,Positive,46,10
yes of course i'm thankful to your parents namooni :* <3 <3,Positive,48,12
aunty ka bhot bhot shukriya krdena meri trf se,Positive,38,9
phupo ko thanks bolin meri trf sy bht bht 😂😂😂😂😂😂😂,Positive,40,10
aunty uncle ko yaad se thnku bolin meri taraf se 😉😂,Positive,41,11
aunty k lie meri taraf se aik chummi idhr aik chummi idhr :'),Positive,49,13
Woi naa khushaal gharanaaa hamra😂😍,Positive,30,5
bht shukria rna m apni dil diyan gallan kisko sunato😅,Positive,44,10
....mairi taraf sy uncle aunty ko thanks bolna,Positive,39,8
apny apny ami abu ko mri trf sy shukria. Bl dy,Positive,36,11
Hahahaha meri trf se b uncle aunty ka dhanaywaad😝😝,Positive,42,9
Kancha item dia h inshort😂😂😂😂,Positive,25,5
meri zindagi k tum anmol namonay 😝,Positive,28,7
Hahaha dekha hamari importance 😉,Positive,28,5
Dekh lo beta hum namono k bagair tumahara guzara bhi nahi 😉,Positive,48,12
thank u uncle anty 😘😘 warna mai incmplte rh jati 😅😅,Positive,41,11
shukr hy ye namoona peuda kya. Thanks to uncle aunty 😂😂😂,Positive,46,11
By itkhtyr qahqa laga h myra😂😂😂😂 tm b bst sy opr ho,Positive,40,12
Hahahahahahahahahahhaha haso haso wanjo kri krto😁😁,Positive,45,6
Aunty ko bhttt bhttt shukriya kehna,Positive,30,6
humy  k parents ka shukriya krna chahiye,Positive,33,8
uncle aunty ko meri trf se 21 topon ki salamiii....😂😂,Positive,44,10
aunty ko mri trf se thanku bol dena with kissy,Positive,37,10
Its a Great Pleasure😉😂,Positive,19,4
mn khudhh aungi specially,Positive,22,4
dill ki gehraion se dhanywaar 😂,Positive,26,6
.😂 Thanks boldenA meri taraf Se,Positive,26,6
thank u bol apne parents ko meri taraf se 😂,Positive,34,10
"D ke la ma ta tag koli,BTW a big thankooo😘😘😍😂",Positive,36,10
Beshak 😂😂 kissi or k bas ka kaam nh ya 😂😂,Positive,31,11
Sana Butt Should i tag your mama? 😂,Positive,28,8
tum na paida hti to kya hta mra,Positive,24,8
mama ko zaroor thanks kahin 😂😂😂😂😂😂,Positive,29,6
k momy daddy apka thankyu 😜😜😜,Positive,24,6
meri taraf se bohat shukriya.. :p,Positive,28,6
aunty specaily ap ka bht shukriya😂😂,Positive,30,6
antiii ne bht naik kaam kiya 😅❤,Positive,25,7
I grateful to ur parents 😂😂,Positive,22,6
Thank you so much aunti 😁,Positive,20,6
Main tou fakhar kar rahi hun 😂,Positive,24,7
Alhamdulillah ❤,Positive,14,2
mai shukar guzar hn ami abu ki :-/,Positive,27,8
special mili hon bai mein touuu,Positive,26,6
thankyou bolna ami baba ko 😂😂😂😂😂,Positive,27,6
ama ko thanx kehna apni😂😜,Positive,21,5
Still u r my buddy 😘,Positive,15,6
", 😂 Aunty Fari ko shukria kehna 😂",Positive,26,8
tell Aunty bauhat shukria 🤣,Positive,23,5
Haha i love u so much meri jan,Positive,23,8
thanks to parents,Positive,15,3
thankew sooo mch anty 😁😁,Positive,20,5
Hahaha .... ma zaror karu g,Positive,22,6
Hahaha thk ha g zror krna,Positive,20,6
😁😁👍,Positive,3,1
phupho thanku ❤️,Positive,14,3
thank u JAAN G 😉😜,Positive,13,5
Uncle aunty ka shukriya ada karna :D :P,Positive,32,8
uncle aunty shukriya karna 😂😂,Positive,25,5
Lol same to your parents as well,Positive,26,7
bht hi na shukari ho waisay,Positive,22,6
hahahhaa shokhi,Positive,14,2
Shukriya shehzadi auntie,Positive,22,3
meri maa ko khushi honi🤣,Positive,20,5
Anyaa ye tm.ne kha tha mjhe😂😂😂❤💋,Positive,27,6
Lol,Positive,3,1
aunty ko shukria kehna :D,Positive,21,5
Okay 😂,Positive,5,2
yaar apne mamaki id btaaa,Positive,21,5
chor tujhe unki nazar mn girana nhi chahti 😉,Positive,36,9
:D :D bs dil se dil ko raah hoti hai :D,Positive,29,11
Hahahahaha wah,Positive,13,2
uncle ko tag kron.?,Positive,16,4
Tum kro or agla 1 ghanta bad face to face thanks krna aya ga,Positive,47,14
robina aunty ka shukria adda kr dun unhe add kr ke 😂,Positive,41,12
Heer Naqvi,Positive,9,2
Hassan Husnain,Positive,13,2
reply kia na,Positive,10,3
Mjhay nahi tag Kia 😑🤬,Positive,17,5
YE aunty ko dikha do Please :D,Positive,24,7
uncle aunty ka num de,Positive,17,5
Haniya Khan.,Positive,11,2
Hahaha😂,Positive,7,1
Aunty i love you ❤💛,Positive,15,5
Zaib Usman😂,Positive,10,2
Hadia kh,Positive,7,2
atiya nisar,Positive,10,2
Tmhari ami ko b 😂,Positive,13,5
Haha Razzaque bhai ko b😂😂😂😂,Positive,23,5
Me b cemnt agency walo ka bra shukrguzar ho hahahah,Positive,42,10
aunty bht bht shukriya😂😂♥️,Positive,23,4
Hahahhahah😂,Positive,11,1
Heheheh..:)),Positive,12,1
Tumhari ama ko na??,Positive,16,4
Tag them please! !!!😍😍,Positive,19,4
Hahahaha main is main tumhain tag karnay wali thi.. 😂😂😂😂😂,Positive,48,10
Jo chpairh wo maarain agay se uska kya??😯,Positive,34,8
Anty uncle ko kehna zra😉😁,Positive,21,5
You too :p,Positive,8,3
hate u,Positive,5,2
Seriously Ajoobaa 😜,Positive,17,3
thank you much...one of a kind hun afterall...:D:D,Positive,43,8
Lol namoona nai anmol 😍,Positive,19,5
😂😂😂 apni amma ko prha dena plx 😂😂😂,Positive,27,8
Lkn mea q,Positive,7,3
pass on the message 💜😂,Positive,18,5
"hahaha, ni ye meri traf sy anti ko dikhao😂😂",Positive,35,9
Tmra knsa muun ni ha😕,Positive,17,5
Inbox kr dn gi.,Positive,12,4
say my thanks to uncle and aunty 😍😘😂,Positive,29,8
Love you too my honey 😘😘,Positive,19,6
Hahahah,Positive,7,1
naughty girl,Positive,11,2
hahhahahahha me bhi bolti hn rk,Positive,26,6
hahhahahha thanks fakhira parveen aqal deny k liye,Positive,43,8
Heheee,Positive,6,1
Aunti add hi ni warna me unki shaan me qaseeday likhta 😭😂,Positive,46,12
Hahahaha shukria 😂😂😂,Positive,18,3
aunty ko shukarya krdena,Positive,21,4
Hahahaha,Positive,8,1
Hahahha,Positive,7,1
bus is main se ice cream hata do😂,Positive,26,8
miss those midnight snacks 😄,Positive,24,5
Exactly😂😂,Positive,9,1
"Ek hi baat hai
Mai kron ya ap...",Positive,26,7
Soch dekho hamari kitni milti hai 😉😂,Positive,30,7
Hahahaha,Positive,8,1
Kulsoom Qureshi,Positive,14,2
Motuuu mjhe bhi bhej mai bhi jag luga,Positive,30,8
😂my version of dieting😁😂,Positive,21,4
Ye tmhary wali diet 😂😂,Positive,18,5
Buahhahaa yeahhh,Positive,15,2
We aren't haddi shah we're smart 😊😏😏,Positive,30,7
That's what I do 😂😂😂,Positive,16,5
Sta kho sa khwata nakige 😜,Positive,21,6
Ri da,Positive,4,2
mc donaldzzzz 😝😝,Positive,14,3
Tu gym khaaaa????,Positive,15,3
Haha,Positive,4,1
Many Kb pochaaa,Positive,13,3
Uff esi diet,Positive,10,3
Yumna too bhi shamil hey,Positive,20,5
Bilkul sahi kaha,Positive,14,3
G Bilqul aisy he hai... I agree with u...,Positive,33,9
Beshak,Positive,6,1
Done. 👍 Thanks Urdu Safha’s Admin for such initiative.,Positive,46,9
Sahi baat ha,Positive,10,3
bilkul darosat .....,Positive,18,3
Bilkul sahi,Positive,10,2
Bilkul sahi kaha.aap.ñ .ey,Positive,23,4
Bilkul sahi aese morning show ka bnd ho jana hi bhtr he,Positive,44,12
Bilco yh zaror hona chahey,Positive,22,5
Bilkul thehk.,Positive,12,2
Bilkul,Positive,6,1
Beshak zaror krwana chaye,Positive,22,4
Agreed with attaria qadria,Positive,23,4
Taab too hum khud unn Koo saport karay hootay hai,Positive,40,10
har taraqi ke leye islam zrori ha,Positive,27,7
Nhi pta ??? Allah or us k rasool s.a.w ki etaat kro..,Positive,42,12
beshak,Positive,6,1
khoob,Positive,5,1
Boht aalaa,Positive,9,2
Jis na kha ha ci kha ha,Positive,17,7
Jis ne likha he bohat behtareen likha ... wah wah,Positive,40,10
Bilkul right,Positive,11,2
Such kaha..!,Positive,11,2
lol is page waly ki DP dekh or bat kia karaha yeh ,Positive,38,13
Iss mein koi burai nahi,Positive,19,5
Iss mein koi burai nahi hey,Positive,22,6
AIK HADEES HEY MOMAN KABHI LAAN TAAN NAHIN KARTA,Positive,40,9
Ye follow nh kr rha unki khushyon m shamil hua h bs,Positive,40,12
Bilawal Allah tumain salamat rakhey,Positive,31,5
Wah zbrdst,Positive,9,2
"thek, ALLAH pak ka koi b hukam maslehat k baghair nai.",Positive,44,11
Australia Me Shawal ka Chand Nazar Aa Gaya Kal Eid Hogi ,Positive,45,12
Sub Se Zaiyda Mein 136 Jagah Hazrat Mosa A S Ka Zikar Aya Hain ,Positive,49,15
Tareef Kiya Huwa ,Positive,14,4
Ap Sb Ki Shirkat Ka Shukrya ,Positive,22,7
Samnay betha tha mere or wo mera na tha,Positive,31,9
Apny Bhai Ki Madad Karo ,Positive,19,6
Main Aaj Se Hi Bicha Doon Us Raah Pe Palken ,Positive,34,11
3 Cheze Halos E Dil k sat karni Chahey ,Positive,30,10
1 Raham 2 karam 3 Dua ,Positive,16,7
Es Ki Bunyad Kalma Tayyaba Par Hain,Positive,29,7
Ramzan K Akhri Ashray Me Mazeed Barishon Ka Imkaan ,Positive,42,10
Eid Ul Fiter Per Bi Barishon Ka Imkan ,Positive,30,9
Tabdeli Yhi Log Laskengy ,Positive,21,5
Darood Sharif Parh Kar Muslim Dosto Ko Send Kro ,Positive,39,10
1 Bar Parhny Say 10 Gunah Mitaty Hain Or 10 Nikya Milti Hain ,Positive,48,14
Doston ko Bhe Daawat Den ,Positive,20,6
NAMAZ E FAJAR Hamari khobsoorti Mein Ezafa Karti Hain ,Positive,45,10
NAMAZ E ZUHAR Hamari Aamdani Mein Izafa Karti Hein ,Positive,42,10
Imran amp Reham Khan Is Saal Hajj Pr Jaengy ,Positive,35,10
Bohat say log tujhy dekh kar hamaray huwe ,Positive,34,9
Such Me Wo Log Sirf Kaha Karte The ,Positive,27,9
Love from Pakistan ,Positive,16,4
2 kamyab tareen inqalab tha 36 votes ,Positive,30,8
Zero point k bad se bhi agy jayengy ka jawab ,Positive,35,11
Kia husan e ittefaq hy unki galli tak ,Positive,30,9
Hum kaam se gaye thy phir kaam se gaye ,Positive,30,10
K Apni Maa k Qadmo k Nishan Dhondh Raha Ho ,Positive,33,11
L0ve u M0M ,Positive,8,4
Per TOOT k chahna sirf 1 baar hota hai ,Positive,30,10
Agar hai to janab yeh article ap k lie hi hai ,Positive,35,12
Basa Hy Kon Tairy Dil Mein Gull E Badan Ay DARD ,Positive,37,12
K Boo Gulaab Ki Aayi Tairy Paseeny Mein ,Positive,32,9
To Umrain Beet Jaen Gi Kaha Na Achay LaGty Ho To Bus Lagtay Ho ,Positive,49,15
Ferdous ki lawn ap ki hoi,Positive,20,6
SapneY Mein Sine Se LagaYa PYaar Kia Jee BehlaYa ,Positive,40,10
Meri chahat ,Positive,10,3
meri manzil ,Positive,10,3
Ek arsy bd us k sher lota to hran rhgia ,Positive,30,11
Mainay kaghaz per bhi bana kar dekhin aankhain uski ,Positive,43,10
Koi tujhsa ho to phir naam bhi tujh sa rakhy ,Positive,35,11
Koi jb hns k milta hai mujy tm yad aaty ho ,Positive,32,12
Magharbi Wasti Riyasaton Main Barf Bari Ka Silsala Jari ,Positive,47,10
Janty hoty to mere hoty ,Positive,19,6
Kisi K Sa ath Sahii Par Wo Nazar To ,Positive,27,10
kaha na yaad aaty ho tu bus yad aaty ho ,Positive,30,11
Ye Mohabt B Kya Chz Hy ,Positive,17,7
Muskura K Guzar Jana Zaroori Tha kya ,Positive,30,8
Barha Mulk Ban Gaya ,Positive,16,5
Tum pay aitbaar ki ,Positive,15,5
Ek Muhabbat Karli ,Positive,15,4
Dosra Tum Sey Karli ,Positive,16,5
KIA KHABAR THI K TUJHE YE HUNAR B AATA HY ,Positive,32,11
Js Qaom Ka Aghaz Hi IQRA Se Huwa Tha ,Positive,28,10
Ilm hasil kerna IBADET or Ilm ki Tlash JIHAD hy ,Positive,38,11
Zindagi Ko Badalne Me Waqt Nahi Lagta ,Positive,31,8
Pehle Mohabat ka iqraar karna ,Positive,25,6
Zameen k neeche sakoon sey rehtay hain ,Positive,32,8
Kabhi aap dusro k lye Dil se dua mang kr dekho ,Positive,36,12
1 Kaash Aisa Ho ,Positive,12,5
2 Mera Pehla Pyar ,Positive,14,5
Haiseat Say Half Utha Liya ,Positive,22,6
Indies Ko Hara Kar World Cup 6th Martaba Jeet Lia ,Positive,40,11
Bugti Mein Civilian Hukmrani Bahal Ki Jaye Adalti Hukum ,Positive,47,10
Nationality Nahin Chor Sakta ,Positive,25,5
kabi Thehro Meray dill men Muhabat Seekh jao gy ,Positive,39,10
ALLAH PAK Ki Mehrabani Pr Hai Is Liye ,Positive,30,9
ALLAH Ki Makhlooq Pe Mehrbani Krty Raho ,Positive,33,8
ALLAH  Tm Pr Mehrban Rahy ga ,Positive,22,8
TitT LiYaan Mandlarhi Hein Kanch K Gulldaan Par lt ,Positive,42,10
Darood shareef ki kasrat ki jiay ,Positive,27,7
Na Jany Q us Ki Aankhon Pe Zindagi Lutanay Ko Ji Chahta hai ,Positive,47,14
Daikha Ho Tou Aa Mere Ujrey Howay Bikhrey,Positive,34,8
apny andar se Ghuroor ki aadat ko mitta dena chahty ho ,Positive,44,12
to Ghareeb logon ko salam kr lia kro ,Positive,29,9
Or cricket ki all commandz muft hasil kren ,Positive,35,9
Ab Khayal Rakhna Apna ,Positive,18,5
Hr ik parcham sa uoncha parcham e Islam ho jaya ,Positive,38,11
Aik Baar Darood e Pak Par Kr Agay Forward Kren ,Positive,37,11
Ba KHUDA Tujh Se Kuch Nahi Chaha ,Positive,26,8
Kabhi aap dusro k lye Dil se dua mang kr dekho ,Positive,36,12
Apko kabhi apne lye mangne ki zarurt hi nahi paregi ,Positive,42,11
Ab Sham Ho Chuki Hai n Mera Hath Tham L0 ,Positive,31,11
BilKul muft Hasil Karen ,Positive,20,5
Na koi Tmhy Mot dy skta hy amp na koi Tmhra RIZQ Km kr skta hy ,Positive,47,17
Beshk ALLAH bht Rehm krny wla hy ,Positive,26,8
AR Tabba Sports Complex Me APMF Job Fair Ka Agaz Ho Gaya Hai ,Positive,48,14
Hamara 22 Saala Tajurba ap ke Umeed ,Positive,29,8
Mukhtalif Jamato Ki Janib Se Rangers K Haq Me Muzahire ,Positive,45,11
Ye Mamla Peer Tk Hal Hojaye Ga Ch Nisar Ehtiyat Se Kam Len,Positive,46,13
Apne Yadgar Lamhat ko Shandar Banain ,Positive,31,7
CityNews021 Ki Janib Se Police Rangers Ko Khiraj e Tehseen ,Positive,49,11
Apne Yadgar Lamhat ko Shandar Banain ,Positive,31,7
Imran Khan Ka Kal Bhi Rally Nikalnay Ka Elaan ,Positive,37,10
Apne Yadgar Lamhat ko Shandar Banain ,Positive,31,7
Karkunan Ki Badi Tadad Airport K Bahir Mojood ,Positive,38,9
Se PMLN Ki Rally Rawan Dawan Nagmo Per Raqs,Positive,35,9
AMANTECH ne wada nibhaya ,Positive,21,5
Behtar rozgaar ka moqah dilaya ,Positive,26,6
BDS Ne Bomb Ko Nakara Bana Dia ,Positive,24,8
Mutasrin e Zalzala Ki Dil khol Kr Madad Karen ,Positive,37,10
Karachi Me Aashura K Mauqay Per Mukammal Aman Raha ,Positive,42,10
Pakistan Ko Ab Tak 358 Runs Ki Bartari Hasil ,Positive,36,10
Ibrahim Hydri Se 3Target Killers Griftar  ,Positive,35,8
Janwaron K Rate Kam Hone Ka Imkan  ,Positive,27,9
Jald Nayi Qayadat Samnay La Raha Hoon ,Positive,31,8
Wahab Riaz Ne 2 Or M Hafeez Ne 1 Wicket Hasil Ki ,Positive,37,13
Tamam Members Se Bharpoor Barish K Lye Dua Kernay Ki Appeal ,Positive,49,12
ALLAH Hidayat Walay K Seenay Ko ISLAM K Liye Khol Deta Hai ,Positive,47,13
Roza Dhaal Hai ,Positive,12,4
24 Kart Pr Tola 45100 Rupe Ka Hogia Mazeed Kami Ka Imakan ,Positive,46,13
ALLAH Momino Ka Difaa Karta Hy ,Positive,25,7
Shokat Khanum Me 70 Mareezo Ka Muft Elaj Hota Hai,Positive,40,10
Aur Momin ALI Se Bughz Nahi Rakhta,Positive,28,7
Farishto ka Nuzool Aakhir Surto n ki tafseer ,Positive,37,9
Pani Chori Ki Saza 10 Sal Or 10 Lakh Jurmana Hoga ,Positive,39,12
Tamam Members Ko Eid Ka Chand Mubarak,Positive,31,7
Dua Karen Allah Karachi Ko Aman Ka Gehwara Bana Day ,Positive,42,11
Pakistan Ko 5 Matched Ki Series Me 2 1 Ki Bartari ,Positive,39,12
24 Kart Pr Tola 44700 Rupe Ka Hogia Mazeed Kami Ka Imakan ,Positive,46,13
Sindh Tajir Ittihad Hartal Nahi Kare Ga ,Positive,33,8
Cricket Khel Saken Gay ,Positive,19,5
Bomb Phat Na Saka ,Positive,14,5
Operation Kisi Party K Khilaf Nahi Mujrimo K khilaf Hai ,Positive,46,11
Azmeen e Hujjaj Umrah k Lye khushkhabri,Positive,33,7
Tumhe Watan Ki Hawaen Salam Kehti Hen ,Positive,31,8
Garz har laihaz say aik mumtaz talib ilm thay.,Positive,38,9
Aala taleem nay unhain “liberal” bana dia tha.,Positive,39,8
1994 mein wo senate Peters Burg ke deputy mayor ban gae.,Positive,46,11
Qaum Pak Army K Sath Hy,Positive,18,6
Sirf 1 bar Darood Sharif Parh Kar Muslim Dosto Ko Send Kro,Positive,47,12
10 Nikya Milti Hain,Positive,16,4
Zati Umoor Ka Ahtiram Kia Jaye ,Positive,25,7
Karachi CTD Ki Karwai 5 Target Killer Griftar ,Positive,38,9
Pakistan win by 178 runs and lead now 1 0 over England ,Positive,43,13
Sub Ko KHUDA Yaad Aa Gaya ,Positive,20,7
Punjab Aur KPK Main Barish Sy Musam Khoshgwar ,Positive,38,9
Qoumi Watan Party KPK Hkomat Main Shamil ,Positive,34,8
